set_id,sku_pos,brand_ko,fp_url,resolved_url,is_ambiguous,text_length,image_count,table_count,list_item_count,paragraph_count,section_count,jsonld_field_count,explicit_number_count,ambiguous_term_count,numeric_specificity_ratio,price_krw,skin_type_targets_count,ph_value,active_ingredient_count,claim_keyword_count,texture_keyword_count,no_list_count,cosmetic_cert_count,volume_ml,aggregate_rating_value,aggregate_rating_count,T7_eat_score,Q4_social_proof_count,Q9_external_authority_count
r2_main_00964,3,벤튼,https://m.bentoncosmetic.com/product/%EB%B2%A4%ED%8A%BC-ac-%EB%B0%94%ED%95%98-%ED%8F%BC-%ED%81%B4%EB,https://m.bentoncosmetic.com/product/%EB%B2%A4%ED%8A%BC-ac-%EB%B0%94%ED%95%98-%ED%8F%BC-%ED%81%B4%EB%A0%8C%EC%A7%95-120ml-%EC%95%BD%EC%82%B0%EC%84%B1-bha-%EB%AF%B8%EC%82%B0%EC%84%B1-%ED%94%BC%EB%B6%80%EA%B3%BC-%EB%94%A5-%ED%81%B4%EB%A0%8C%EC%A0%80-%EC%84%B8%EC%95%88%EC%A0%9C/689/category/188/display/1/#enp_mbris,False,13210.0,104.0,9.0,147.0,99.0,16.0,6.0,30.0,0.0,1.0,13900.0,3.0,,4.0,2.0,3.0,1.0,0.0,120.0,5.0,116.0,1.0,2.0,0.0
r2_main_00965,1,라곰,https://lagom.kr/product/detail.html?product_no=652&cate_no=86&display_group=1,https://lagom.kr/product/detail.html?product_no=652&cate_no=86&display_group=1,False,11531.0,43.0,6.0,69.0,72.0,8.0,5.0,16.0,0.0,1.0,18000.0,4.0,,3.0,12.0,2.0,0.0,0.0,350.0,,,1.0,1.0,0.0
r2_main_00965,2,라곰,https://lagom.kr/product/detail.html?product_no=488&cate_no=86&display_group=1,https://lagom.kr/product/detail.html?product_no=488&cate_no=86&display_group=1,False,11040.0,77.0,7.0,68.0,68.0,8.0,6.0,20.0,0.0,1.0,4500.0,4.0,,1.0,16.0,0.0,0.0,0.0,23.0,5.0,1.0,2.0,2.0,0.0
r2_main_00965,3,벤튼,https://m.bentoncosmetic.com/product/detail.html?product_no=885&cate_no=188&display_group=1,https://m.bentoncosmetic.com/product/detail.html?product_no=885&cate_no=188&display_group=1,False,12822.0,83.0,10.0,136.0,98.0,17.0,6.0,33.0,0.0,1.0,17500.0,2.0,,3.0,25.0,0.0,1.0,0.0,200.0,4.9,101.0,1.0,2.0,0.0
r2_main_00966,1,토리든,https://www.torriden.com/goods/goods_view.php?goodsNo=263,https://www.torriden.com/goods/goods_view.php?goodsNo=263,False,9271.0,84.0,1.0,142.0,65.0,13.0,0.0,38.0,1.0,0.974,5000.0,1.0,,3.0,9.0,3.0,0.0,0.0,400.0,,,1.0,0.0,0.0
r2_main_00966,2,메디팜,https://itempage3.auction.co.kr/DetailView.aspx?itemno=B873273622,https://itempage3.auction.co.kr/DetailView.aspx?itemno=B873273622,False,22437.0,117.0,0.0,380.0,212.0,32.0,5.0,193.0,0.0,1.0,5000.0,2.0,,1.0,85.0,0.0,0.0,0.0,220.0,4.7,1860.0,2.0,3.0,0.0
r2_main_00966,3,메디필,https://medipeel.co.kr/product/detail.html?product_no=3916&cate_no=728&display_group=1,https://medipeel.co.kr/product/detail.html?product_no=3916&cate_no=728&display_group=1,False,10999.0,45.0,2.0,87.0,42.0,14.0,5.0,15.0,0.0,1.0,30000.0,0.0,,6.0,14.0,0.0,0.0,0.0,120.0,,,2.0,1.0,0.0
r2_main_00967,1,닥터오라클,https://droracle.co.kr/product/센텔라바이옴%C2%AE미산성-클렌징폼-120ml/752/,https://droracle.co.kr/product/센텔라바이옴%C2%AE미산성-클렌징폼-120ml/752/,False,14603.0,108.0,10.0,234.0,213.0,15.0,6.0,67.0,4.0,0.944,28000.0,3.0,,5.0,9.0,0.0,0.0,1.0,120.0,5.0,43.0,3.0,2.0,0.0
r2_main_00967,2,라로슈포제,https://www.larocheposay.co.kr/product/view/4397.do?srsltid=AfmBOoqc6tG5OPY9IfcEpE66VJxlweVouBf9zbRX,https://www.larocheposay.co.kr/product/view/4397.do?srsltid=AfmBOoqc6tG5OPY9IfcEpE66VJxlweVouBf9zbRX3VxraM4X8pN91Toa,False,8218.0,47.0,3.0,128.0,13.0,37.0,4.0,93.0,0.0,1.0,30000.0,8.0,,2.0,36.0,1.0,0.0,0.0,40.0,,,2.0,0.0,0.0
r2_main_00967,3,메디필,https://medipeel.co.kr/product/detail.html?product_no=2855&cate_no=499&display_group=1,https://medipeel.co.kr/product/detail.html?product_no=2855&cate_no=499&display_group=1,False,11805.0,64.0,4.0,98.0,51.0,14.0,6.0,26.0,0.0,1.0,13500.0,0.0,,5.0,2.0,0.0,1.0,0.0,155.0,4.8,59.0,2.0,4.0,0.0
