item_id,brand_ko,appearances,unique_set_ids,is_ambiguous,price_krw
https://m.isntree.com/product/%EC%B0%B8%EB%A7%88-%EB%B9%84%EA%B1%B4-%EC%95%BD%EC%82%B0%EC%84%B1-%ED%81%B4%EB%A0%8C%EC%A0%80-120ml/551/category/53/display/1/,이즈앤트리,39,39,False,16000.0
https://droracle.co.kr/product/센텔라바이옴%C2%AE미산성-클렌징폼-120ml/752/,닥터오라클,39,39,False,28000.0
https://dewytree.com/product/detail.html?product_no=688&cate_no=54&display_group=1,듀이트리,39,39,False,14000.0
https://themedicube.co.kr/product/detail.html?product_no=2286&cate_no=44&display_group=1,메디큐브,39,39,False,17500.0
https://www.isoi.co.kr/product/goods_detail?goods_no=993,아이소이,38,38,False,64000.0
https://www.celltrionmall.com/item/DL2025031243,지피덤,38,38,False,16900.0
https://physiogel.co.kr/product/detail.html?product_no=374&cate_no=28&display_group=1,피지오겔,38,38,False,23000.0
https://silkcrystal.co.kr/product/%ED%99%94%EC%9D%B4%ED%8A%B8-%EB%94%A5-%ED%81%B4%EB%A6%B0%EC%A7%95-%ED%8F%BC-70ml/67/category/24/display/1/,실크크리스탈,38,38,False,68000.0
https://theuiq.com/product/%EB%B0%94%EC%9D%B4%EC%98%B4-%EB%B2%A0%EB%A6%AC%EC%96%B4-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8F%BC-120ml/30/category/45/display/1/,유이크,38,38,False,22000.0
https://thewhoo.com/product/detail.html?product_no=88,더후,38,38,False,43000.0
https://anua.kr/product/detail.html?product_no=348,아누아,38,38,False,21600.0
https://eunyul.co.kr/product/%EC%98%90%EB%A1%9C%EC%9A%B0%EC%94%A8%EB%93%9C-%EB%B0%94%EC%9D%B4%ED%83%88-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A0%80-500ml/82/category/45/display/1/,은율,38,38,False,11000.0
https://myrealbarrier.co.kr/product/detail.html?product_no=71,리얼베리어,38,38,False,16700.0
https://anua.kr/product/detail.html?product_no=254,아누아,38,38,False,14000.0
https://www.theskinfood.com/shop/shopdetail.html?branduid=1464&search=%ED%8F%BC&sort=order&xcode=005&mcode=034&scode=&GfDT=bG53VQ%3D%3D,스킨푸드,37,37,False,11000.0
https://9wishes.co.kr/product/%EB%9D%BC%EC%9D%B4%EC%8A%A4-%ED%8F%AC%EB%B0%8D-%ED%81%B4%EB%A0%8C%EC%A0%80/98/category/78/display/1/,나인위시스,37,37,False,17600.0
https://huxley.co.kr/product/클렌징-폼-비-클린-비-모이스트/79,헉슬리,37,37,False,25000.0
https://whipped.co.kr/product/%ED%9C%A9%EB%93%9C-%EB%AC%B4%ED%99%94%EB%B2%84%ED%84%B0-%EB%B9%84%EA%B1%B4-%ED%8C%A9%ED%81%B4%EB%A0%8C%EC%A0%80-130g/222/category/54/display/1/,휩드,37,37,False,23200.0
https://www.dr-g.co.kr/item/4359?pc=4&cc=14,닥터지,37,37,False,20000.0
https://aromatica.co/product/detail.html?product_no=2212,아로마티카,37,37,False,20000.0
https://wellage.co.kr/product/%EB%A6%AC%EC%96%BC-%ED%9E%88%EC%95%8C%EB%A3%A8%EB%A1%9C%EB%8B%89-%EC%95%84%EB%AF%B8%EB%85%B8-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8F%BC-150ml/1256/,웰라쥬,37,37,False,16000.0
https://thewhoo.com/product/detail.html?product_no=650,더후,37,37,False,43000.0
https://www.sulwhasoo.com/kr/ko/products/gentle-cleansing-foam-ex.html,설화수,37,37,False,42000.0
https://abib.com/product/포어-클레이-팩-클렌저-어성초-차콜-팩-투-폼/597/,아비브,37,37,False,24000.0
https://ilso.kr/product/%ED%94%BC%EC%A7%80-%ED%9D%A1%EC%B0%A9-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8C%A9%ED%8F%BC-%EA%B8%B0%ED%9A%8D-%EC%A6%9D%EC%A0%95-%EC%84%B8%EC%95%88-%ED%97%A4%EC%96%B4%EB%B0%B4%EB%93%9C/200/category/118/display/1/,일소,37,37,False,16900.0
https://roundlab.co.kr/product/detail.html?product_no=130,라운드랩,37,37,False,19500.0
https://theuiq.com/product/%EB%B0%94%EC%9D%B4%EC%98%B4-%EB%A0%88%EB%AF%B8%EB%94%94-%EC%95%84%ED%81%AC%EB%84%A4-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8F%BC-150ml/393/category/45/display/1/,유이크,37,37,False,17000.0
https://benetus.imweb.me/cleanser/?idx=2,베네투스,37,37,False,23000.0
https://eunyul.co.kr/product/%EB%8D%B0%EC%9D%BC%EB%A6%AC-%EC%BC%80%EC%96%B4-%EB%94%A5-%EB%B2%84%EB%B8%94-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A0%80-500ml/117/category/45/display/1/,은율,37,37,False,12800.0
https://myrealbarrier.co.kr/product/detail.html?product_no=85,리얼베리어,37,37,False,16900.0
https://www.beplain.co.kr/shop/shopdetail.html?branduid=10739138&xcode=013&mcode=001&scode=&type=Y&sort=manual&current_category=013001&search=&GfDT=bmt8W1o%3D,비플레인,36,36,False,37800.0
https://aperire.co.kr/product/new-%EB%B9%84-%ED%94%84%EB%A1%9C%EC%A6%8C-%ED%8F%AC%EC%96%B4-%ED%8C%A9-%ED%88%AC-%ED%8F%BC-%ED%81%B4%EB%A0%8C%EC%A0%80/159/,아페리레,36,36,False,24000.0
https://banila.com/product/detail.html?product_no=680,바닐라코,36,36,False,16000.0
https://blancnature.co.kr/product/best-%EC%97%AC%EB%93%9C%EB%A6%84-%EA%B8%B0%EB%8A%A5%EC%84%B1-%ED%81%B4%EB%A0%8C%EC%A7%95%ED%8F%BC-150ml/13/category/45/display/1/,블랑네이처,36,36,False,23800.0
https://pcalm.co.kr/product/%ED%94%BC%EC%BA%84-%EC%96%B8%EB%8D%94%ED%8F%AC%EC%96%B4-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A7%95/19/,피캄,36,36,False,54900.0
https://pyunkangyul.com/product/약산성-모공-딥-클렌징폼-100ml/134/category/95/display/1/,편강율,36,36,False,9900.0
https://illiyoon.com/product/detail.html?product_no=275,일리윤,36,36,False,33600.0
https://graymelin.com/product/11-%ED%81%AC%EB%A0%88%EC%9D%B4%EC%A7%80-%EB%8C%80%EC%9A%A9%EB%9F%89-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A0%B8-500ml/420/category/61/display/1/,그레이멜린,36,36,False,18900.0
https://jumiso.co.kr/product/%EA%B8%80%EB%A1%9C%EC%9A%B0%ED%94%BD1%EC%9C%84-%ED%8F%AC%EC%96%B4-%ED%93%A8%EB%A6%AC%ED%8C%8C%EC%9E%89-%EC%82%B4%EB%A6%AC%EC%8B%A4%EC%82%B0-%ED%8F%AC%EB%B0%8D-%ED%81%B4%EB%A0%8C%EC%A0%80-120g/66/category/44/display/1/,주미소,35,35,False,13500.0
https://www.theskinfood.com/shop/shopdetail.html?branduid=10322201&search=%ED%8F%BC&sort=order&xcode=008&mcode=000&scode=&GfDT=aWV%2B,스킨푸드,35,35,False,16000.0
https://medihealshop.com/product/더마-크림-팩-클렌저마데카소사이드-진정-장벽/1659/,메디힐,35,35,False,16400.0
https://m.bentoncosmetic.com/product/%EB%B2%A4%ED%8A%BC-%EC%96%B4%EB%8B%88%EC%8A%A4%ED%8A%B8-%ED%81%B4%EB%A0%8C%EC%A7%95%ED%8F%BC-150g-%EB%B9%84%EA%B1%B4/17/category/188/display/1/#enp_mbris,벤튼,35,35,False,9000.0
https://m.maxclinic.com/product/detail.html?product_no=1548&cate_no=180&display_group=1,맥스클리닉,35,35,False,12800.0
https://m.shionle.com/product/detail.html?product_no=788#enp_mbris,션리,35,35,False,16000.0
https://whataskin.co.kr/product/%ED%93%A8%EC%96%B4%EB%AF%B8-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A7%95-500ml/10/category/29/display/1/,와더스킨,35,35,False,23000.0
https://thewhoo.com/product/detail.html?product_no=87,더후,35,35,False,46000.0
https://www.torriden.com/goods/goods_view.php?goodsNo=154,토리든,35,35,False,5000.0
https://www.innisfree.com/kr/ko/dp/product/35276,이니스프리,35,35,False,8000.0
https://www.innisfree.com/kr/ko/dp/product/35277,이니스프리,35,35,False,1000.0
https://www.sidmool.com/shop/shopdetail.html?branduid=55&xcode=022&mcode=001&scode=&type=X&sort=sellcnt&current_category=022001&GfDT=bm9%2BW18%3D,시드물,35,35,False,25000.0
https://roundlab.co.kr/product/detail.html?product_no=140,라운드랩,35,35,False,11700.0
https://roundlab.co.kr/product/detail.html?product_no=160,라운드랩,35,35,False,18000.0
