item_id,degree
https://www.iaso.co.kr/shop/shopdetail.html?branduid=2558230&xcode=005&mcode=001&scode=&type=Y&sort=manual&current_category=005001&search=&GfDT=bmt7W1k%3D,48
https://myrealbarrier.co.kr/product/detail.html?product_no=87&cate_no=48&display_group=1,48
https://m.bentoncosmetic.com/product/%EB%B2%A4%ED%8A%BC-%EA%B9%8A%EC%9D%80-%EB%85%B9%EC%B0%A8-%ED%81%B4%EB%A0%8C%EC%A7%95%ED%8F%BC-120g/412/category/188/display/1/#enp_mbris,48
https://lagom.kr/product/detail.html?product_no=328&cate_no=86&display_group=1,48
https://brmudkorea.com/product/detail.html?product_no=87&cate_no=90&display_group=1,48
https://aromatica.co/product/detail.html?product_no=2160&cate_no=827&display_group=1,48
https://banila.com/product/detail.html?product_no=687&cate_no=214&display_group=1,48
https://medipeel.co.kr/product/detail.html?product_no=2755&cate_no=499&display_group=1,49
https://m.bentoncosmetic.com/product/%EB%B2%A4%ED%8A%BC-ac-%EB%B0%94%ED%95%98-%ED%8F%BC-%ED%81%B4%EB%A0%8C%EC%A7%95-120ml-%EC%95%BD%EC%82%B0%EC%84%B1-bha-%EB%AF%B8%EC%82%B0%EC%84%B1-%ED%94%BC%EB%B6%80%EA%B3%BC-%EB%94%A5-%ED%81%B4%EB%A0%8C%EC%A0%80-%EC%84%B8%EC%95%88%EC%A0%9C/689/category/188/display/1/#enp_mbris,49
https://medipeel.co.kr/product/detail.html?product_no=3222&cate_no=499&display_group=1,49
https://telse.co.kr/product/%ED%99%94%EC%9D%B4%ED%8A%B8-%ED%8B%B0%ED%8A%B8%EB%A6%AC-%EC%95%84%ED%81%AC-%ED%94%8C%EB%9F%AC%EC%8A%A4-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8F%BC-150ml/121/category/70/display/1/,49
https://physiogel.co.kr/product/detail.html?product_no=33&cate_no=28&display_group=1,49
https://imfrom.co.kr/product/%ED%94%BC%EA%B7%B8-%ED%8F%BC-%ED%81%B4%EB%A0%8C%EC%A0%80/204/category/175/display/1/,49
https://mixsoon.co.kr/product/detail.html?product_no=385&cate_no=106&display_group=1,49
https://yuripibu.com/product/%EC%B4%9D-480ml-%EA%B7%B8%EB%9E%80%EB%96%BC-%EB%8D%B0%EC%9D%BC%EB%A6%AC-%EC%95%BD%EC%82%B0%EC%84%B1-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8F%BC-160ml-x3%EA%B0%9C/102/category/88/display/1/,49
https://lagom.kr/product/detail.html?product_no=11&cate_no=86&display_group=1,49
