set_id,item_triplet,brand_triplet,n_items,n_unique_items,n_unique_brands
main_02415,https://anua.kr/product/detail.html?product_no=254 | https://www.beplain.co.kr/shop/shopdetail.html?branduid=10739138&xcode=013&mcode=001&scode=&type=Y&sort=manual&current_category=013001&search=&GfDT=bmt8W1o%3D | https://www.beplain.co.kr/shop/shopdetail.html?branduid=10739403&xcode=013&mcode=001&scode=&type=Y&sort=manual&current_category=013001&search=&GfDT=bm17W10%3D,비플레인 | 비플레인 | 아누아,3,3,2
main_02435,https://themedicube.co.kr/product/detail.html?product_no=21&cate_no=44&display_group=1 | https://themedicube.co.kr/product/detail.html?product_no=2286&cate_no=44&display_group=1 | https://www.theskinfood.com/shop/shopdetail.html?branduid=10322201&search=%ED%8F%BC&sort=order&xcode=008&mcode=000&scode=&GfDT=aWV%2B,메디큐브 | 메디큐브 | 스킨푸드,3,3,2
main_02449,https://purek.co.kr/product/detail.html?product_no=10&cate_no=25&display_group=1 | https://www.theskinfood.com/shop/shopdetail.html?branduid=1464&search=%ED%8F%BC&sort=order&xcode=005&mcode=034&scode=&GfDT=bG53VQ%3D%3D | https://www.theskinfood.com/shop/shopdetail.html?branduid=993&xcode=036&mcode=001&scode=003,스킨푸드 | 스킨푸드 | 퓨어케이,3,3,2
main_02784,https://pongdangshop.com/product/detail.html?product_no=147&cate_no=117&display_group=1 | https://whataskin.co.kr/product/%ED%93%A8%EC%96%B4%EB%AF%B8-%ED%9C%A9-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A7%95-150g/22/category/29/display/1/ | https://whataskin.co.kr/product/aa-p-%ED%8C%90%ED%85%8C%EB%86%80-%EC%A0%A4-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A7%95-200ml/25/category/29/display/1/,와더스킨 | 와더스킨 | 퐁당,3,3,2
main_02976,https://clubclio.co.kr/shop/goodsView/0000005420#page1&id=0000005420 | https://clubclio.co.kr/shop/goodsView/0000006568#page1&id=0000006568 | https://paparecipe.com/product/%ED%8B%B0%ED%8A%B8%EB%A6%AC-%EC%BB%A8%ED%8A%B8%EB%A1%A4-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8F%BC-120ml/1213/category/288/display/1/,구달 | 구달 | 파파레서피,3,3,2
r2_main_00010,https://imfrom.co.kr/product/detail.html?product_no=245&cate_no=175&display_group=1 | https://themedicube.co.kr/product/detail.html?product_no=356&cate_no=44&display_group=1 | https://themedicube.co.kr/product/유튜버-pick-제로-폼-클렌저/356,메디큐브 | 메디큐브 | 아임프롬,3,3,2
r2_main_00025,https://ilso.kr/product/new-%EC%96%B4%EC%84%B1%EC%B4%88%EB%AF%BC%EA%B0%90-pdrn-%EC%95%A1%ED%8B%B0%EB%B8%8C-%EB%B2%84%EB%B8%94-%ED%81%B4%EB%A0%8C%EC%A0%80/211/category/118/display/1/ | https://www.theskinfood.com/shop/shopdetail.html?branduid=10323366&search=%ED%8F%BC&sort=order&xcode=008&mcode=000&scode=&GfDT=bG13WA%3D%3D | https://www.theskinfood.com/shop/shopdetail.html?branduid=1796&search=%ED%8F%BC&sort=order&xcode=005&mcode=033&scode=&GfDT=bm18W1o%3D,스킨푸드 | 스킨푸드 | 일소,3,3,2
r2_main_00056,https://medipeel.co.kr/product/detail.html?product_no=2681&cate_no=499&display_group=1 | https://sum37.com/product/detail.html?product_no=369&cate_no=24&display_group=1 | https://sum37.com/product/detail.html?product_no=413&cate_no=24&display_group=1,메디필 | 숨37 | 숨37,3,3,2
r2_main_00077,https://illiyoon.com/product/detail.html?product_no=274 | https://medipeel.co.kr/product/detail.html?product_no=2755&cate_no=499&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=2904&cate_no=499&display_group=1,메디필 | 메디필 | 일리윤,3,3,2
r2_main_00146,https://aromatica.co/product/detail.html?product_no=2160&cate_no=827&display_group=1 | https://aromatica.co/product/detail.html?product_no=2421&cate_no=827&display_group=1 | https://skin1004korea.com/product/마다가스카르-센텔라-앰플-폼-125ml/272/category/131/display/1/,스킨1004 | 아로마티카 | 아로마티카,3,3,2
